University,Url
 Odessa College Odessa,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006540&trns_subj_code=&trns_subj_crse=
 Odessa College-Midland Campus Midland,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=UTX015&trns_subj_code=&trns_subj_crse=
 Our Lady Of The Lake Univ San Antonio,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006550&trns_subj_code=&trns_subj_crse=
 Palo Alto College San Antonio,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=003730&trns_subj_code=&trns_subj_crse=
 Panola College Carthage,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006572&trns_subj_code=&trns_subj_crse=
 Paris Junior College Paris,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006573&trns_subj_code=&trns_subj_crse=
 Parker College Of Chiropractic Dallas,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=UTX016&trns_subj_code=&trns_subj_crse=
 Parker University Dallas,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=005861&trns_subj_code=&trns_subj_crse=
 Paul Quinn College Dallas,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006577&trns_subj_code=&trns_subj_crse=
 Prairie View A&M University Prairie View,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006580&trns_subj_code=&trns_subj_crse=
 Ranger College Ranger,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006608&trns_subj_code=&trns_subj_crse=
 Rice University Houston,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006609&trns_subj_code=&trns_subj_crse=
 Richland College@ Dallas,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006607&trns_subj_code=&trns_subj_crse=
 Sam Houston State University Huntsville,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006643&trns_subj_code=&trns_subj_crse=
 San Antonio College San Antonio,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006645&trns_subj_code=&trns_subj_crse=
 San Jacinto College-North@ Houston,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006729&trns_subj_code=&trns_subj_crse=
 San Jacinto College-South@ Houston,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006693&trns_subj_code=&trns_subj_crse=
 San Jacinto College@ Pasadena,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006694&trns_subj_code=&trns_subj_crse=
 Schreiner University Kerrville,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006647&trns_subj_code=&trns_subj_crse=
 Seminary of the Southwest Austin,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=UTX010&trns_subj_code=&trns_subj_crse=
 South Plains College Levelland,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006695&trns_subj_code=&trns_subj_crse=
 South Texas College Mc Allen,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006654&trns_subj_code=&trns_subj_crse=
 South Texas College Of Law Houston,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=UTX018&trns_subj_code=&trns_subj_crse=
 Southern Bible College Houston,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=UTX019&trns_subj_code=&trns_subj_crse=
 Southern Methodist University Dallas,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006660&trns_subj_code=&trns_subj_crse=
 Southwest Texas Junior College Uvalde,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006666&trns_subj_code=&trns_subj_crse=
 Southwestern Adventist College Keene,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006671&trns_subj_code=&trns_subj_crse=
 Southwestern Assmbl Of God Col Waxahachie,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006669&trns_subj_code=&trns_subj_crse=
 Southwestern Baptist Theol Sem Fort Worth,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=004546&trns_subj_code=&trns_subj_crse=
 Southwestern Christian College Terrell,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006705&trns_subj_code=&trns_subj_crse=
 Southwestern University Georgetown,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006674&trns_subj_code=&trns_subj_crse=
 St. Edward's University Austin,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006619&trns_subj_code=&trns_subj_crse=
 St. Mary's University San Antonio,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006637&trns_subj_code=&trns_subj_crse=
 St. Philip's College San Antonio,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006642&trns_subj_code=&trns_subj_crse=
 Stephen F Austin St University Nacogdoches,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006682&trns_subj_code=&trns_subj_crse=
 Sul Ross State University Alpine,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006685&trns_subj_code=&trns_subj_crse=
 Tarleton State University Stephenville,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006817&trns_subj_code=&trns_subj_crse=
 Tarrant Co Coll NW Campus@ Fort Worth,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006126&trns_subj_code=&trns_subj_crse=
 Tarrant County College Fort Worth,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006834&trns_subj_code=&trns_subj_crse=
 Temple College Temple,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006818&trns_subj_code=&trns_subj_crse=
 Texarkana College Texarkana,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006819&trns_subj_code=&trns_subj_crse=
 Texas A&M International Univ Laredo,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=000359&trns_subj_code=&trns_subj_crse=
 Texas A&M Univ - San Antonio San Antonio,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=005996&trns_subj_code=&trns_subj_crse=
 Texas A&M Univ-Central Texas Killeen,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=002954&trns_subj_code=&trns_subj_crse=
 Texas A&M Univ-Commerce Commerce,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006188&trns_subj_code=&trns_subj_crse=
 Texas A&M Univ-Corpus Christi Corpus Christi,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=000366&trns_subj_code=&trns_subj_crse=
 Texas A&M Univ-Galveston Galveston,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006835&trns_subj_code=&trns_subj_crse=
 Texas A&M Univ-Kingsville Kingsville,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006822&trns_subj_code=&trns_subj_crse=
 Texas A&M Univ-Texarkana Texarkana,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006206&trns_subj_code=&trns_subj_crse=
 Texas A&M University College Station,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006003&trns_subj_code=&trns_subj_crse=
 Texas Chiropractic College Pasadena,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=UTX020&trns_subj_code=&trns_subj_crse=
 Texas Christian University Fort Worth,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006820&trns_subj_code=&trns_subj_crse=
 Texas College Tyler,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006821&trns_subj_code=&trns_subj_crse=
 Texas Lutheran College Seguin,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006823&trns_subj_code=&trns_subj_crse=
 Texas Southern University Houston,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006824&trns_subj_code=&trns_subj_crse=
 Texas Southmost College Brownsville,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=UTX021&trns_subj_code=&trns_subj_crse=
 Texas St Tech Coll-Amarillo Amarillo,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=UTX022&trns_subj_code=&trns_subj_crse=
 Texas St Tech Coll-Harlingen Harlingen,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006843&trns_subj_code=&trns_subj_crse=
 Texas St Tech Coll-Sweetwater Sweetwater,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=003137&trns_subj_code=&trns_subj_crse=
 Texas State Tech College Waco,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006328&trns_subj_code=&trns_subj_crse=
 Texas State Univ-San Marcos San Marcos,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006667&trns_subj_code=&trns_subj_crse=
 Texas Tech Univ Health Sci Ctr Lubbock,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=003423&trns_subj_code=&trns_subj_crse=
 Texas Tech University Lubbock,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006827&trns_subj_code=&trns_subj_crse=
 Texas Wesleyan University Fort Worth,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006828&trns_subj_code=&trns_subj_crse=
 Texas Woman's University Denton,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006826&trns_subj_code=&trns_subj_crse=
 The Nell Institute Austin,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=UTX023&trns_subj_code=&trns_subj_crse=
 Trinity University San Antonio,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006831&trns_subj_code=&trns_subj_crse=
 Trinity Valley Comm College Athens,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006271&trns_subj_code=&trns_subj_crse=
 Tyler Junior College Tyler,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006833&trns_subj_code=&trns_subj_crse=
 U Of Tex Hlth Sci Ctr-Houston Houston,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006906&trns_subj_code=&trns_subj_crse=
 U Of Tex Hlth Sci Ctr-San Antn San Antonio,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006908&trns_subj_code=&trns_subj_crse=
 Univ Of Houston-Clear Lake Houston,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006916&trns_subj_code=&trns_subj_crse=
